City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Katete,UG,2021-09-22 19:32:28,-0.7818,29.7544,290.18,91,68,0.58
99,Georgetown,MY,2021-09-22 19:32:28,5.4112,100.3354,299.76,75,20,0.45
100,Lagoa,PT,2021-09-22 19:32:29,39.05,-27.9833,294.57,77,0,6.41
101,Torbay,CA,2021-09-22 19:32:29,47.6666,-52.7314,295.79,44,90,9.26
102,Akhtanizovskaya,RU,2021-09-22 19:32:30,45.32,37.1,285.41,62,100,0.66
103,Seoul,KR,2021-09-22 19:31:55,37.5683,126.9778,290.38,88,40,1.03
104,Dingle,PH,2021-09-22 19:30:16,10.9995,122.6711,296.88,93,100,1.67
105,Talnakh,RU,2021-09-22 19:32:30,69.4865,88.3972,274.25,77,97,4.13
106,Pevek,RU,2021-09-22 19:32:30,69.7008,170.3133,270.89,64,100,3.52
107,Guerrero Negro,MX,2021-09-22 19:32:31,27.9769,-114.0611,302.76,52,89,3.07
108,Itoman,JP,2021-09-22 19:31:53,26.1247,127.6694,301.16,89,20,1.54
109,Thompson,CA,2021-09-22 19:32:31,55.7435,-97.8558,286.24,82,90,2.06
110,Poya,NC,2021-09-22 19:32:32,-21.35,165.15,292.04,76,73,1.38
111,Ahipara,NZ,2021-09-22 19:32:32,-35.1667,173.1667,287.54,93,100,5.1
112,Finschhafen,PG,2021-09-22 19:32:33,-6.6024,147.8681,297.45,93,100,3.77
113,Bredasdorp,ZA,2021-09-22 19:31:25,-34.5322,20.0403,289.42,82,100,2.57
114,Atbasar,KZ,2021-09-22 19:32:33,51.8,68.3333,278.26,59,60,2.83
115,Necochea,AR,2021-09-22 19:32:33,-38.5473,-58.7368,285.39,73,100,3.5
116,Sassandra,CI,2021-09-22 19:32:34,4.95,-6.0833,297.53,93,61,2.13
117,Castro,BR,2021-09-22 19:30:26,-24.7911,-50.0119,290.54,57,24,5.03
118,Ratnagiri,IN,2021-09-22 19:32:34,16.9833,73.3,297.85,89,100,1.4
119,Hami,CN,2021-09-22 19:32:35,42.8,93.45,291.47,22,17,2.87
120,Kasrawad,IN,2021-09-22 19:32:35,22.1333,75.6,297.9,91,97,2.09
121,Parkes,AU,2021-09-22 19:32:36,-33.1333,148.1833,277.02,90,0,0.66
122,Tezu,IN,2021-09-22 19:32:36,27.9167,96.1667,297.91,73,98,1.1
123,Adeje,ES,2021-09-22 19:32:37,28.1227,-16.726,296.02,69,75,0.89
124,Saint-Philippe,RE,2021-09-22 19:32:37,-21.3585,55.7679,293.9,82,40,5.23
125,Hervey Bay,AU,2021-09-22 19:32:38,-25.2986,152.8535,285.95,81,1,4.6
126,Yerbogachen,RU,2021-09-22 19:32:38,61.2767,108.0108,273.33,85,31,1.75
127,Khorixas,NA,2021-09-22 19:32:38,-20.3667,14.9667,296.37,19,72,1.13
128,Huarmey,PE,2021-09-22 19:32:39,-10.0681,-78.1522,292.51,77,99,5.55
129,Bluff,NZ,2021-09-22 19:32:39,-46.6,168.3333,277.48,81,11,5.05
130,Rio Grande,BR,2021-09-22 19:30:46,-32.035,-52.0986,291.21,67,97,6.14
131,Bentiu,SS,2021-09-22 19:32:39,9.2333,29.8333,297.25,84,24,1.34
132,Havre-Saint-Pierre,CA,2021-09-22 19:32:40,50.2334,-63.5986,290.35,72,75,5.66
133,Esperance,AU,2021-09-22 19:30:09,-33.8667,121.9,286.06,84,0,3.69
134,Ixtapa,MX,2021-09-22 19:32:40,20.7,-105.2,303.83,70,90,1.03
135,Lorengau,PG,2021-09-22 19:32:41,-2.0226,147.2712,299.69,80,97,2.28
136,Green River,US,2021-09-22 19:32:41,41.5286,-109.4662,295.48,26,6,2.24
137,Dolinsk,RU,2021-09-22 19:32:41,47.35,142.8,285.07,96,100,9.18
138,Omboue,GA,2021-09-22 19:32:42,-1.5746,9.2618,298.44,85,81,3.8
139,Mahebourg,MU,2021-09-22 19:32:42,-20.4081,57.7,294.96,78,75,4.63
140,Simao,CN,2021-09-22 19:32:43,22.7886,100.9748,292.5,78,94,1.12
141,Hobart,AU,2021-09-22 19:27:51,-42.8794,147.3294,287.18,58,75,6.26
142,Fortuna,US,2021-09-22 19:32:43,40.5982,-124.1573,295.33,67,20,0.45
143,Beringovskiy,RU,2021-09-22 19:32:43,63.05,179.3167,275.37,66,100,2.8
144,Mar Del Plata,AR,2021-09-22 19:29:56,-38.0023,-57.5575,288.16,67,90,4.12
145,Wanning,CN,2021-09-22 19:32:44,18.8003,110.3967,299.62,88,100,1.41
146,Verkhnevilyuysk,RU,2021-09-22 19:32:44,63.4453,120.3167,275.93,95,81,2.58
147,Yellowknife,CA,2021-09-22 19:32:19,62.456,-114.3525,283.44,87,90,3.6
148,Kaitangata,NZ,2021-09-22 19:32:45,-46.2817,169.8464,279.5,75,4,2.08
149,Lasa,IT,2021-09-22 19:32:45,46.6166,10.7002,285.1,67,82,2.17
150,Atar,MR,2021-09-22 19:32:46,20.5169,-13.0499,309.61,13,0,3.14
151,Gigmoto,PH,2021-09-22 19:32:46,13.7796,124.39,299.94,83,97,0.76
152,Pau Brasil,BR,2021-09-22 19:32:46,-15.4642,-39.6511,296.32,72,99,3.75
153,Ossora,RU,2021-09-22 19:32:47,59.2353,163.0719,281.91,86,100,2.51
154,Mbekenyera,TZ,2021-09-22 19:32:47,-10.0,38.9833,293.42,90,5,0.85
155,Arraial Do Cabo,BR,2021-09-22 19:32:48,-22.9661,-42.0278,295.13,53,20,5.66
156,Dikson,RU,2021-09-22 19:30:28,73.5069,80.5464,275.13,99,100,4.49
157,Prieska,ZA,2021-09-22 19:32:48,-29.6641,22.7474,291.55,23,1,2.56
158,Polignano A Mare,IT,2021-09-22 19:32:48,40.9959,17.2159,294.1,51,18,10.02
159,Monterey,US,2021-09-22 19:32:49,36.2505,-121.2516,306.32,19,0,3.35
160,Mayahi,NE,2021-09-22 19:32:49,13.9553,7.6712,303.24,53,42,4.5
161,Fare,PF,2021-09-22 19:32:49,-16.7,-151.0167,298.38,72,0,3.01
162,Beyneu,KZ,2021-09-22 19:32:50,45.3167,55.2,290.41,40,98,8.55
163,Nola,IT,2021-09-22 19:32:50,40.922,14.5329,295.33,45,1,4.09
164,Kirakira,SB,2021-09-22 19:32:51,-10.4544,161.9205,298.96,83,55,2.62
165,Portland,US,2021-09-22 19:29:19,45.5234,-122.6762,294.18,72,75,0.45
166,Elko,US,2021-09-22 19:32:52,41.0002,-115.5012,298.56,16,0,3.13
167,Mattru,SL,2021-09-22 19:32:52,7.6244,-11.8332,297.02,96,100,1.45
168,Meulaboh,ID,2021-09-22 19:32:52,4.1363,96.1285,297.41,91,97,1.8
169,Harper,LR,2021-09-22 19:32:53,4.375,-7.7169,298.7,85,66,2.97
170,Piacabucu,BR,2021-09-22 19:32:53,-10.4056,-36.4344,299.05,83,1,6.18
171,Naze,JP,2021-09-22 19:30:58,28.3667,129.4833,297.52,75,3,3.04
172,Koutsouras,GR,2021-09-22 19:32:55,35.0339,25.9469,296.86,69,0,3.98
173,Salalah,OM,2021-09-22 19:32:55,17.0151,54.0924,301.2,83,75,2.57
174,Mecca,SA,2021-09-22 19:30:02,21.4267,39.8261,305.0,44,9,0.79
175,Chokurdakh,RU,2021-09-22 19:32:01,70.6333,147.9167,271.07,79,97,1.48
176,Zhoucheng,CN,2021-09-22 19:32:56,35.9122,116.3117,294.57,91,100,1.86
177,Kununurra,AU,2021-09-22 19:32:56,-15.7667,128.7333,293.14,19,78,3.6
178,Norman Wells,CA,2021-09-22 19:32:57,65.282,-126.8329,274.17,100,90,6.17
179,Semey,KZ,2021-09-22 19:32:57,50.4111,80.2275,276.89,62,62,1.76
180,Provideniya,RU,2021-09-22 19:32:57,64.3833,-173.3,271.21,64,0,2.0
181,Kodiak,US,2021-09-22 19:32:58,57.79,-152.4072,280.61,61,100,4.53
182,Koslan,RU,2021-09-22 19:32:58,63.4564,48.8989,275.93,98,16,2.3
183,Whakatane,NZ,2021-09-22 19:31:49,-37.9585,176.9854,289.69,96,100,8.26
184,Conceicao Do Araguaia,BR,2021-09-22 19:32:59,-8.2578,-49.2647,314.02,13,15,3.04
185,Gunjur,GM,2021-09-22 19:32:59,13.2019,-16.7339,303.19,79,20,5.14
186,Dzhebariki-Khaya,RU,2021-09-22 19:32:59,62.2167,135.8,274.37,92,51,0.66
187,Havelock,US,2021-09-22 19:33:00,34.8791,-76.9013,301.12,87,75,1.34
188,Umm Kaddadah,SD,2021-09-22 19:33:00,13.6017,26.6876,306.08,33,12,3.63
189,Cherskiy,RU,2021-09-22 19:30:30,68.75,161.3,271.78,58,100,2.26
190,Acajutla,SV,2021-09-22 19:33:01,13.5928,-89.8275,309.34,70,97,2.42
191,Adrar,MR,2021-09-22 19:33:01,20.5022,-10.0711,308.99,10,0,4.42
192,Ati,TD,2021-09-22 19:33:01,13.2154,18.3353,304.15,50,100,5.47
193,Opuwo,NA,2021-09-22 19:33:02,-18.0607,13.84,298.81,17,62,2.47
194,Sola,VU,2021-09-22 19:33:02,-13.8833,167.55,299.24,78,99,3.49
195,Marzuq,YE,2021-09-22 19:33:02,14.4,46.4667,299.89,52,89,0.67
196,Codrington,AU,2021-09-22 19:33:03,-38.2667,141.9667,282.37,90,1,5.73
197,Tarko-Sale,RU,2021-09-22 19:33:03,64.9225,77.785,272.53,84,39,5.05
198,Khatanga,RU,2021-09-22 19:33:03,71.9667,102.5,273.98,98,100,4.5
199,Bilibino,RU,2021-09-22 19:33:04,68.0546,166.4372,271.81,70,100,1.01
200,Flagstaff,US,2021-09-22 19:30:25,35.1981,-111.6513,299.88,21,1,2.68
201,Port Lincoln,AU,2021-09-22 19:33:04,-34.7333,135.8667,282.23,86,1,3.91
202,Arlit,NE,2021-09-22 19:33:04,18.7369,7.3853,309.1,10,22,3.86
203,Cape Town,ZA,2021-09-22 19:30:47,-33.9258,18.4232,292.1,67,0,2.06
204,Obigarm,TJ,2021-09-22 19:33:05,38.7173,69.7088,288.24,33,0,1.83
205,Port Blair,IN,2021-09-22 19:33:05,11.6667,92.75,298.62,91,100,4.26
206,Rudbar,AF,2021-09-22 19:33:06,30.15,62.6,298.89,18,0,3.27
207,Nuuk,GL,2021-09-22 19:33:06,64.1835,-51.7216,275.49,41,75,4.63
208,San Cristobal,VE,2021-09-22 19:33:06,7.7669,-72.225,303.25,47,69,2.71
209,Qandala,SO,2021-09-22 19:33:07,11.472,49.8728,304.88,59,42,0.72
210,Sao Gabriel Da Cachoeira,BR,2021-09-22 19:33:07,-0.1303,-67.0892,301.04,83,40,3.09
211,Puerto Ayora,EC,2021-09-22 19:33:07,-0.7393,-90.3518,299.13,83,73,5.05
212,Nome,US,2021-09-22 19:33:08,64.5011,-165.4064,274.19,70,75,2.06
213,Leh,IN,2021-09-22 19:33:08,34.1667,77.5833,285.69,41,2,2.79
214,Suicheng,CN,2021-09-22 19:33:08,33.8963,117.9331,295.24,94,100,2.74
215,Upernavik,GL,2021-09-22 19:33:09,72.7868,-56.1549,268.07,57,92,1.97
216,Lufilufi,WS,2021-09-22 19:33:09,-13.8745,-171.5986,302.03,76,77,8.23
217,Garowe,SO,2021-09-22 19:33:09,8.4054,48.4845,299.13,57,0,10.72
218,Kahului,US,2021-09-22 19:33:10,20.8947,-156.47,301.47,64,20,8.23
219,Pisco,PE,2021-09-22 19:31:20,-13.7,-76.2167,293.18,68,0,4.12
220,Vila Franca Do Campo,PT,2021-09-22 19:33:10,37.7167,-25.4333,295.38,76,15,4.17
221,Biak,ID,2021-09-22 19:33:10,-0.9131,122.8766,296.28,90,100,2.66
222,Isangel,VU,2021-09-22 19:33:11,-19.55,169.2667,296.21,94,100,1.54
223,Kropotkin,RU,2021-09-22 19:33:11,45.4375,40.5756,285.37,70,61,1.1
224,Bac Lieu,VN,2021-09-22 19:33:11,9.285,105.7244,299.08,85,100,3.06
225,Najran,SA,2021-09-22 19:33:12,17.4924,44.1277,300.51,16,22,0.69
226,Balad,IQ,2021-09-22 19:33:12,34.0164,44.1453,302.84,22,0,3.61
227,Kifri,IQ,2021-09-22 19:33:12,34.6959,44.9661,302.12,19,0,3.19
228,Workington,GB,2021-09-22 19:33:13,54.6425,-3.5441,289.53,93,100,8.09
229,Ambunti,PG,2021-09-22 19:33:13,-4.2365,142.8448,295.7,99,100,0.55
230,Kenai,US,2021-09-22 19:33:14,60.5544,-151.2583,279.31,49,20,2.57
231,Quartucciu,IT,2021-09-22 19:33:14,39.2519,9.1794,298.25,66,0,4.02
232,Beatrice,US,2021-09-22 19:33:14,40.2681,-96.747,296.48,30,1,3.6
233,Mudgee,AU,2021-09-22 19:33:14,-32.5943,149.5871,274.61,100,0,2.06
234,Lewiston,US,2021-09-22 19:33:15,44.1003,-70.2148,296.61,84,90,3.09
235,Yar-Sale,RU,2021-09-22 19:31:49,66.8333,70.8333,276.92,92,94,5.5
236,Muros,ES,2021-09-22 19:33:15,42.7762,-9.0603,292.5,67,1,6.24
237,Cobija,BO,2021-09-22 19:33:16,-11.0267,-68.7692,308.25,49,75,2.06
238,Carnarvon,AU,2021-09-22 19:30:11,-24.8667,113.6333,291.19,94,9,3.6
239,Semirom,IR,2021-09-22 19:33:16,31.4167,51.5667,287.55,27,2,1.6
240,Paamiut,GL,2021-09-22 19:30:46,61.994,-49.6678,272.75,96,100,3.3
241,Los Llanos De Aridane,ES,2021-09-22 19:33:17,28.6585,-17.9182,295.01,82,75,5.66
242,Alyangula,AU,2021-09-22 19:33:17,-13.8483,136.4192,294.08,46,8,2.57
243,Bengkulu,ID,2021-09-22 19:33:17,-3.8004,102.2655,297.21,90,100,1.48
