City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Keti Bandar,82.81,overcast clouds,24.1447,67.4497,Haji laloo memon house
104,Tautira,84.22,clear sky,-17.7333,-149.15,Pension Oaoa
105,Sinnamary,84.9,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
108,Riyadh,84.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
114,Kahului,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
118,Agadir,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
120,Sayaxche,85.71,overcast clouds,16.5167,-90.1667,Hotel y Auto Hotel Arizona
121,El Jicaro,94.53,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
122,Khash,72.43,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
123,Cortez,76.42,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
125,Takoradi,75.04,overcast clouds,4.8845,-1.7554,Raybow International Hotel
126,Doha,89.58,dust,25.2867,51.5333,Movenpick Hotel Doha
128,Kloulklubed,83.28,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
134,Three Hills,77.49,overcast clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
136,Manado,75.97,moderate rain,1.487,124.8455,Aryaduta Hotel
137,Inhambane,71.89,clear sky,-23.865,35.3833,Oceano
139,Magadi,71.94,overcast clouds,12.9667,77.2333,SVB Caters
140,Tuy Hoa,76.28,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
141,Manggar,80.35,overcast clouds,-2.8833,108.2667,Guest Hotel
142,Arraial Do Cabo,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
143,Erzin,73.0,clear sky,36.9559,36.2,Artemis Otel
144,Rincon,86.86,few clouds,32.296,-81.2354,Days Inn Rincon
145,Dingle,75.61,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
146,Thinadhoo,81.82,overcast clouds,0.5333,72.9333,
147,Oussouye,84.38,light rain,12.485,-16.5469,Auberge du Routard
153,Meulaboh,74.26,overcast clouds,4.1363,96.1285,Kost Pria
154,Hispania,92.82,overcast clouds,5.7993,-75.9072,Eco Hotel Rancho Verde
158,Ligayan,83.21,scattered clouds,4.6533,119.4706,
159,Bengkulu,75.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
160,Azle,93.11,few clouds,32.8951,-97.5459,The Orchard Event Venue & Retreat - Wedding Venue
162,Dwarka,81.52,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
163,Waddan,75.85,clear sky,29.1614,16.139,محل الشريف محمد العايب
165,Bhimunipatnam,76.51,moderate rain,17.8833,83.4333,Bheemili Court
168,Ranong,76.24,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
170,Luanda,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
172,San Salvo,72.39,overcast clouds,42.0433,14.7272,Villa Bianca Hotel & Spa
173,Isangel,73.51,broken clouds,-19.55,169.2667,Tanna Lodge
182,Puerto Del Rosario,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
183,Areia Branca,86.2,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
184,Touros,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
187,Hobyo,77.92,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
189,Faanui,79.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Arlit,90.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
193,Port-Gentil,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
194,Howard Springs,75.81,broken clouds,-12.497,131.047,buffalo beach hostel
196,Victoria,84.33,clear sky,22.2855,114.1577,Mini Hotel Central
197,Pacific Grove,77.16,scattered clouds,36.6177,-121.9166,Lovers Point Inn
201,Wagar,85.28,clear sky,16.1525,36.2032,
203,San Policarpo,77.65,overcast clouds,12.1791,125.5072,Manong Aklan Resort
205,Columbus,77.88,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
207,Luganville,76.96,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
210,Guerrero Negro,75.63,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
213,Marabba,75.52,overcast clouds,12.35,32.1833,
215,Matamoros,87.12,overcast clouds,25.5333,-103.25,Quinta Belem
217,Sao Filipe,79.18,scattered clouds,14.8961,-24.4956,Hotel Xaguate
219,Oistins,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
220,Vila Franca Do Campo,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
223,Fez,75.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
224,Puerto Ayora,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
